rider,dob,nationality,pob,current_team,weight,height,one_day_races,gc,tt,sprint,climber
Jonas Vingegaard,1996-12-10,Denmark,Hillerslev,Team Jumbo-Visma,NA,NA,28,371,92,216,84
Lawson Craddock,1992-02-20,United,Houston,EF Pro Cycling,69,1.78,138,699,944,216,462
Marc Sarreau,1993-06-10,France,Vierzon,Groupama - FDJ,76,1.82,1094,139,130,2098,54
Davide Formolo,1992-10-25,Italy,Negrar,UAE-Team Emirates,62,1.81,877,1739,146,251,1952
Mikel Nieve,1984-05-26,Spain,Leitza,Mitchelton-Scott,62,1.73,751,3385,31,131,3892
Giulio Ciccone,1994-12-20,Italy,Chieti,Trek - Segafredo,58,1.76,742,489,80,174,1026
Timothy Dupont,1987-11-01,Belgium,Ghent,Circus - Wanty Gobert,72,1.79,2804,151,2,4590,25
Dylan Groenewegen,1993-06-21,Netherlands,Amsterdam,Team Jumbo-Visma,70,1.77,2319,249,13,6290,10
Youcef Reguigui,1990-01-09,Algeria,Algiers,Terengganu Inc. TSG Cycling Team,69,1.72,384,502,107,2050,129
Fabio Jakobsen,1996-08-31,Netherlands,Heukelum,Deceuninck - Quick Step,78,1.81,860,33,38,2122,4
Remco Evenepoel,2000-01-25,Belgium,Schepdaal,Deceuninck - Quick Step,61,1.71,235,989,536,74,198
Baptiste Planckaert,1988-09-28,Belgium,Kortrijk,Bingoal - Wallonie Bruxelles,66,1.76,2841,375,9,3292,279
Andreas Kron,1998-06-01,Denmark,Albertslund,Riwal Securitas Cycling Team,63,1.78,40,177,6,136,37
Sébastien Reichenbach,1989-05-28,Switzerland,Martigny,Groupama - FDJ,64,1.78,594,1538,115,275,1236
Eduard-Michael Grosu,1992-09-04,Romania,Zărnești,NIPPO DELKO One Provence,68,1.73,452,295,351,2710,166
Jhonatan Narváez,1997-03-04,Ecuador,Playón de San Francisco,INEOS Grenadiers,65,1.74,195,399,23,280,95
Nans Peters,1994-03-12,France,Grenoble,AG2R La Mondiale,70,1.77,295,222,61,135,350
Pierre Rolland,1986-10-10,France,Gien,B&B Hotels - Vital Concept p/b KTM,70,1.84,476,3271,234,680,3031
Gianluca Brambilla,1987-08-22,Italy,Bellano,Trek - Segafredo,57,1.7,1308,1317,148,752,1838
Nikodemus Holler,1991-05-04,Germany,Mühlacker,Bike Aid,58,NA,20,402,89,572,59
Luca Wackermann,1992-03-13,Italy,Rho,Vini Zabù - KTM,68,1.88,197,393,1,510,166
Amaro Antunes,1990-11-27,Portugal,Vila Real de Santo António,W52 / FC Porto,58,1.73,86,598,117,194,493
Daniel McLay,1992-01-03,Great,Wellington,Team Arkéa Samsic,72,1.85,762,125,99,2096,0
Andreas Leknessund,1999-05-21,Norway,Tromsø,Uno-X Pro Cycling Team,72,1.85,40,100,226,60,0
Dimitri Claeys,1987-06-18,Belgium,Ghent,"Cofidis, Solutions Crédits",77,1.89,1075,424,121,1132,114
Casper Pedersen,1996-03-15,Denmark,Copenhagen,Team Sunweb,74,1.86,232,232,110,372,24
Matej Mohorič,1994-10-19,Slovenia,Kranj,Bahrain - McLaren,72,1.85,1030,850,186,563,664
Diego Rosa,1989-03-27,Italy,Corneliano d'Alba,Team Arkéa Samsic,65,1.78,989,814,343,194,1000
Louis Meintjes,1992-02-21,South Africa,Pretoria,NTT Pro Cycling,61,1.73,415,1872,330,124,1922
Phil Bauhaus,1994-07-08,Germany,Bocholt,Bahrain - McLaren,71,1.84,547,152,1,1787,64
Omar Fraile,1990-07-17,Spain,Santzurtzi,Astana Pro Team,72,1.83,297,429,77,235,904
Jon Aberasturi,1989-03-28,Spain,Vitoria-Gasteiz,Caja Rural - Seguros RGA,69,1.73,437,124,157,2473,98
Danilo Celano,1989-12-07,NA,Vasto,Team Sapura Cycling,NA,NA,103,268,0,61,188
Kamil Małecki,1996-01-02,Poland,Bytów,CCC Team,69,1.74,79,279,162,356,3
Yevgeniy Fedorov,2000-02-16,NA,NA,Vino - Astana Motors,NA,NA,98,114,56,130,1
Nico Denz,1994-02-15,Germany,Waldshut-Tiengen,Team Sunweb,71,1.83,306,207,101,277,51
Nils Eekhoff,1998-01-23,NA,NA,Team Sunweb,NA,1.89,242,24,126,368,0
Jhonatan Restrepo,1994-11-28,Colombia,Pácora,Androni Giocattoli - Sidermec,73,1.78,237,336,91,456,186
Michael Valgren,1992-02-07,Denmark,Østerild,NTT Pro Cycling,71,1.79,1995,1079,445,614,826
Víctor de la Parte,1986-06-22,Spain,Vitoria-Gasteiz,CCC Team,64,1.81,84,1132,544,203,502
Álvaro José Hodeg,1996-09-16,Colombia,Montería,Deceuninck - Quick Step,76,1.86,493,32,8,1481,10
Simone Consonni,1994-09-12,Italy,Ponte San Pietro,"Cofidis, Solutions Crédits",60,1.65,631,173,21,1178,94
Jakub Kaczmarek,1993-09-27,Poland,Kalisz,Mazowsze Serce Polski,66,1.81,10,191,63,209,4
Ben Hermans,1986-06-08,Belgium,Hasselt,Israel Start-Up Nation,72,1.86,1269,2897,450,1070,1697
Matteo Moschetti,1996-08-14,NA,Milan,Trek - Segafredo,NA,NA,245,11,26,736,0
Nelson Oliveira,1989-03-06,Portugal,Anadia,Movistar Team,67,1.8,373,746,2323,144,316
Carlos Verona,1992-11-04,Spain,San Lorenzo de El Escorial,Movistar Team,68,1.86,372,715,18,60,464
Florian Vermeersch,1999-03-12,NA,Ghent,Lotto Soudal,NA,NA,99,89,49,82,1
David de la Cruz,1989-05-06,Spain,Sabadell,UAE-Team Emirates,66,1.82,100,1611,709,70,1471
Quentin Pacher,1992-01-06,France,Libourne,B&B Hotels - Vital Concept p/b KTM,62,1.79,364,648,56,588,206
Jonathan Klever Caicedo,1993-04-28,Ecuador,Santa Martha de Cuba,EF Pro Cycling,62,1.64,154,267,102,170,58
Philippe Gilbert,1982-07-05,Belgium,Verviers,Lotto Soudal,69,1.79,12137,3843,1381,7814,3844
Lucas Hamilton,1996-02-12,NA,Ararat,Mitchelton-Scott,NA,NA,182,522,54,257,277
Alex Dowsett,1988-10-03,Great Britain,Maldon,Israel Start-Up Nation,75,1.82,80,628,3105,216,10
Quinn Simmons,2001-05-08,United States,Durango,Trek - Segafredo,72,1.82,75,106,2,54,0
Robert Stannard,1998-09-16,NA,Sydney,Mitchelton-Scott,NA,NA,320,40,66,448,48
Fabio Felline,1990-03-29,Italy,Turin,Astana Pro Team,68,1.75,1713,1212,1111,1467,1165
Rudy Barbier,1992-12-18,France,Beauvais,Israel Start-Up Nation,75,1.79,1137,200,60,2434,2
Magnus Cort,1993-01-16,Denmark,Bornholm,EF Pro Cycling,68,1.83,858,652,118,2280,262
Jannik Steimle,1996-04-04,Germany,Weilheim an der Teck,Deceuninck - Quick Step,73,1.87,162,180,284,576,29
Neilson Powless,1996-09-03,United States,NA,EF Pro Cycling,67,1.83,102,520,442,206,290
Iván García Cortina,1995-11-20,Spain,Gijón,Bahrain - McLaren,77,1.83,495,212,86,752,341
Lorenzo Rota,1995-05-23,Italy,Bergamo,Vini Zabù - KTM,59,1.72,314,199,12,210,170
Jonas Rickaert,1994-02-07,Belgium,Sint-Eloois-Vijve,Alpecin-Fenix,83.5,1.87,520,113,98,556,1
Mike Teunissen,1992-08-25,Netherlands,Ysselsteyn,Team Jumbo-Visma,73,1.84,1191,795,282,1494,92
Ilnur Zakarin,1989-09-15,Russia,Naberezjnye Tsjelny,CCC Team,67,1.87,401,3107,1089,345,2685
Loïc Vliegen,1993-12-20,Belgium,Rocourt,Circus - Wanty Gobert,70,1.84,594,526,23,523,171
Kenny Elissonde,1991-07-22,France,Longjumeau,Trek - Segafredo,52,1.69,218,927,27,46,828
Wout Poels,1987-10-01,Netherlands,Venray,Bahrain - McLaren,66,1.83,936,3418,873,522,3178
Niccolò Bonifazio,1993-10-29,Italy,Cuneo,Team Total Direct Energie,72,1.76,1197,339,48,2653,139
Xandro Meurisse,1992-01-31,Belgium,Kortrijk,Circus - Wanty Gobert,67,1.81,551,1012,68,930,534
Domenico Pozzovivo,1982-11-30,Italy,Policoro,NTT Pro Cycling,53,1.65,2278,5708,729,836,5790
Markus Hoelgaard,1994-10-04,Norway,Stavanger,Uno-X Pro Cycling Team,74,1.87,92,493,20,446,88
Zdeněk Štybar,1985-12-11,Czech Republic,Planá,Deceuninck - Quick Step,68,1.83,3349,1354,185,2466,674
Attila Valter,1998-06-12,Hungary,Csömör,CCC Team,65,1.86,69,367,101,230,66
Jacopo Mosca,1993-08-29,NA,Savigliano,Trek - Segafredo,NA,NA,168,414,69,557,100
Ben O'Connor,1995-11-25,Australia,Subiaco,NTT Pro Cycling,66,1.88,40,570,94,56,426
Ben Swift,1987-11-05,Great Britain,Rotherham,INEOS Grenadiers,69,1.79,1576,823,87,3446,532
Max Walscheid,1993-06-13,Germany,Neuwied,NTT Pro Cycling,90,1.99,583,134,218,1794,16
Ethan Hayter,1998-09-18,NA,London,INEOS Grenadiers,NA,1.78,263,49,60,442,15
Damien Howson,1992-08-13,Australia,Adelaide,Mitchelton-Scott,68,1.88,90,911,638,126,268
Victor Campenaerts,1991-10-28,Belgium,Hoboken,NTT Pro Cycling,72,1.73,130,580,2819,236,126
Ruben Guerreiro,1994-07-06,Portugal,Pegões,EF Pro Cycling,65,1.79,329,682,27,358,529
Aurélien Paret-Peintre,1996-02-27,France,Annemasse,AG2R La Mondiale,64,1.84,156,349,47,158,102
Cees Bol,1995-07-27,Netherlands,Zaandam,Team Sunweb,83,1.94,454,192,128,1096,60
Alexander Krieger,1991-11-28,Germany,Stuttgart,Alpecin-Fenix,73,1.81,635,194,167,1337,37
Jempy Drucker,1986-09-03,Luxembourg,Sandweiler,BORA - hansgrohe,75,1.82,2332,625,623,3434,64
Danny van Poppel,1993-07-26,Netherlands,Moergestel,Circus - Wanty Gobert,78,1.83,1532,298,343,3676,158
Felix Großschartner,1993-12-23,Austria,Wels,BORA - hansgrohe,64,1.84,147,1300,449,308,636
Gregor Mühlberger,1994-04-04,Austria,Haidershofen,BORA - hansgrohe,64,1.8,610,486,232,444,592
Anthony Turgis,1994-05-16,France,Bourg-la-Reine,Team Total Direct Energie,70,1.78,940,594,170,746,142
James Knox,1995-11-04,Great Britain,Kendal,Deceuninck - Quick Step,58,1.73,46,748,49,46,381
Simon Clarke,1986-07-18,Australia,Melbourne,EF Pro Cycling,63,1.75,1558,1371,134,1589,1140
Tanel Kangert,1987-03-11,Estonia,Vändra,EF Pro Cycling,65,1.78,755,2174,1352,347,1392
Biniam Ghirmay Hailu,2000-04-02,Eritrea,NA,NIPPO DELKO One Provence,70,1.84,187,8,60,397,0
Alex Aranburu,1995-09-19,Spain,Ezkio-Itsaso,Astana Pro Team,63,1.78,442,236,4,442,317
Ion Izagirre,1989-02-04,Spain,Ormaiztegi,Astana Pro Team,60,1.73,1210,4048,2474,302,2853
Clément Venturini,1993-10-16,France,Villeurbanne,AG2R La Mondiale,60,1.65,597,366,61,1732,218
Tim Declercq,1989-03-21,Belgium,Leuven,Deceuninck - Quick Step,78,1.9,637,311,24,426,47
Sonny Colbrelli,1990-05-17,Italy,Desenzano del Garda,Bahrain - McLaren,74,1.76,4354,863,134,3986,928
Hugh Carthy,1994-07-09,Great Britain,Preston,EF Pro Cycling,69,1.93,174,1195,335,35,874
Aimé De Gendt,1994-06-17,Belgium,Denderhoutem,Circus - Wanty Gobert,75,1.82,598,376,105,496,64
Rémi Cavagna,1995-08-10,France,Clermont-Ferrand,Deceuninck - Quick Step,78,1.86,306,418,777,244,186
Andrea Bagioli,1999-03-23,Italy,Sondrio,Deceuninck - Quick Step,60,1.76,162,111,4,166,23
Bauke Mollema,1986-11-26,Netherlands,Groningen,Trek - Segafredo,64,1.83,3896,5250,1446,942,6589
Bryan Coquard,1992-04-25,France,Saint-Nazaire,B&B Hotels - Vital Concept p/b KTM,59,1.71,1995,900,289,5532,179
Gianni Vermeersch,1992-11-19,Belgium,Roeselare,Alpecin-Fenix,65,1.73,574,79,2,684,22
Hugo Hofstetter,1994-02-13,France,Altkirch,Israel Start-Up Nation,65,1.7,1346,30,0,1576,81
Gorka Izagirre,1987-10-07,Spain,Ormaiztegi,Astana Pro Team,66,1.76,1212,1966,713,552,1704
Romain Bardet,1990-11-09,France,Brioude,AG2R La Mondiale,65,1.84,2487,4666,283,422,5541
Esteban Chaves,1990-01-17,Colombia,Bogota,Mitchelton-Scott,55,1.64,779,2359,200,312,2476
Davide Ballerini,1994-09-21,Italy,Cantù,Deceuninck - Quick Step,77,1.83,729,99,82,992,185
Jesús Herrada,1990-07-26,Spain,Mota del Cuervo,"Cofidis, Solutions Crédits",70,1.83,1097,1626,702,570,1325
Dion Smith,1993-03-03,New Zealand,Taupaki,Mitchelton-Scott,67,1.79,789,619,70,1061,403
David Gaudu,1996-10-10,France,Landivisiau,Groupama - FDJ,53,1.73,606,859,22,94,930
Hermann Pernsteiner,1990-08-07,Austria,Oberwart,Bahrain - McLaren,55,1.68,156,811,27,18,512
Amaury Capiot,1993-06-25,Belgium,Tongeren,Sport Vlaanderen - Baloise,69,1.87,1066,127,10,1533,55
Rudy Molard,1989-09-17,France,Gleizé,Groupama - FDJ,62,1.78,879,1201,142,528,1033
Rigoberto Urán,1987-01-26,Colombia,Urrao,EF Pro Cycling,63,1.73,2820,4759,1486,1026,5328
Andrea Pasqualon,1988-01-02,Italy,Bassano del Grappa,Circus - Wanty Gobert,68,1.74,1898,547,74,2925,350
Elia Viviani,1989-02-07,Italy,Isola della Scala,"Cofidis, Solutions Crédits",67,1.78,4144,866,160,8350,320
Josef Černý,1993-05-11,Czech Republic,Prague,CCC Team,77,1.88,122,490,856,540,104
Dries Devenyns,1983-07-22,Belgium,Leuven,Deceuninck - Quick Step,65,1.77,1523,1733,681,946,1032
Dylan van Baarle,1992-05-21,Netherlands,Voorburg,INEOS Grenadiers,78,1.87,1030,1127,960,673,267
Valentin Madouas,1996-07-12,France,Brest,Groupama - FDJ,71,1.78,800,487,64,331,394
Jack Haig,1993-09-06,Australia,Southport,Mitchelton-Scott,67,1.9,495,1432,181,210,982
Daryl Impey,1984-12-06,South Africa,Johannesburg,Mitchelton-Scott,70,1.81,1329,1795,968,2192,1321
Fernando Gaviria,1994-08-19,Colombia,La Ceja,UAE-Team Emirates,71,1.8,1299,86,77,3992,94
Dylan Teuns,1992-03-01,Belgium,Diest,Bahrain - McLaren,64,1.81,1037,1711,442,748,1736
Geraint Thomas,1986-05-25,Great Britain,Cardiff,INEOS Grenadiers,71,1.83,1219,4518,3875,1384,2596
Oliver Naesen,1990-09-16,Belgium,Oostende,AG2R La Mondiale,72,1.84,3399,1105,33,1942,664
John Degenkolb,1989-01-07,Germany,Gera,Lotto Soudal,77,1.8,5435,1030,274,8365,398
Rui Costa,1986-10-05,Portugal,Póvoa de Varzim,UAE-Team Emirates,69,1.83,3502,5445,1501,1139,4692
Brandon McNulty,1998-04-02,United States,Phoenix,UAE-Team Emirates,69,1.83,54,569,428,72,206
Egan Bernal,1997-01-13,Colombia,Bogotá,INEOS Grenadiers,60,1.75,677,2577,406,189,1889
Pavel Sivakov,1997-07-11,Russia,San Donà di Piave,INEOS Grenadiers,72,1.88,168,1074,258,78,447
Sergio Higuita,1997-08-01,Colombia,Medellín,EF Pro Cycling,57,1.66,324,789,45,242,662
Tim Wellens,1991-05-10,Belgium,Sint-Truiden,Lotto Soudal,65,1.83,2779,2687,811,792,1938
Andrea Vendrame,1994-07-20,Italy,Conegliano,AG2R La Mondiale,60,1.68,823,302,98,714,368
Alberto Bettiol,1993-10-29,Italy,Poggibonsi,EF Pro Cycling,69,1.8,1471,412,236,479,304
Damiano Caruso,1987-10-12,Italy,Ragusa,Bahrain - McLaren,67,1.79,706,2725,803,992,2352
Fausto Masnada,1993-11-06,Italy,Bergamo,Deceuninck - Quick Step,65,1.81,246,1005,38,80,579
Kasper Asgreen,1995-02-08,Denmark,Kolding,Deceuninck - Quick Step,75,1.92,614,263,829,334,294
Matteo Trentin,1989-08-02,Italy,Borgo Valsugana,CCC Team,74,1.79,3153,463,250,3714,952
Alexey Lutsenko,1992-09-07,Kazakhstan,Petropavl,Astana Pro Team,74,1.74,1256,1919,545,1145,1200
Rohan Dennis,1990-05-28,Australia,Adelaide,INEOS Grenadiers,72,1.82,36,2446,4900,303,984
Marc Soler,1993-11-22,Spain,Vilanova i la Geltrú,Movistar Team,68,1.86,226,1355,582,97,1061
Sepp Kuss,1994-09-13,United States,Durango,Team Jumbo-Visma,61,1.8,91,705,24,70,578
Simon Geschke,1986-03-13,Germany,Berlin,CCC Team,64,1.71,1387,1074,539,914,914
Tim Merlier,1992-10-30,Belgium,Wortegem-Petegem,Alpecin-Fenix,74,1.85,989,18,3,1523,0
Luka Mezgec,1988-06-27,Slovenia,Kranj,Mitchelton-Scott,72,1.83,1219,351,33,3610,165
Tiesj Benoot,1994-03-11,Belgium,Ghent,Team Sunweb,72,1.9,2798,1425,80,1201,1562
Enric Mas,1995-01-07,Spain,Artà,Movistar Team,61,1.77,178,1741,386,76,1230
Nacer Bouhanni,1990-07-25,France,Épinal,Team Arkéa Samsic,65,1.75,3916,449,51,8854,376
Lennard Kämna,1996-09-09,Germany,Wedel,BORA - hansgrohe,65,1.81,132,424,348,105,244
Alexander Kristoff,1987-07-05,Norway,Oslo,UAE-Team Emirates,78,1.81,8381,1978,297,11288,461
Patrick Konrad,1991-10-13,Austria,Mödling,BORA - hansgrohe,65,1.8,816,1749,390,337,1560
Dan Martin,1986-08-20,IrelandPrevious Nationalities:  Great Britain (Untill 2005),Birmingham,Israel Start-Up Nation,59,1.75,3355,5464,454,808,6113
Greg Van Avermaet,1985-05-17,Belgium,Lokeren,CCC Team,74,1.81,10609,3487,574,7050,3617
Jasper Philipsen,1998-03-02,Belgium,Mol,UAE-Team Emirates,69,1.76,809,183,92,1680,82
Thibaut Pinot,1990-05-29,France,Lure,Groupama - FDJ,63,1.8,1610,5736,1270,332,6198
Jasper Stuyven,1992-04-17,Belgium,Leuven,Trek - Segafredo,78,1.86,2774,704,88,2768,646
Tom Dumoulin,1990-11-11,Netherlands,Maastricht,Team Jumbo-Visma,69,1.85,1107,4154,5123,591,2866
George Bennett,1990-04-07,New Zealand,Nelson,Team Jumbo-Visma,58,1.8,559,2417,150,92,2015
Adam Yates,1992-08-07,Great Britain,Bury,Mitchelton-Scott,58,1.73,1248,3187,458,186,3300
Michael Woods,1986-10-12,Canada,Toronto,EF Pro Cycling,64,1.75,1850,1225,18,274,2186
Benoît Cosnefroy,1995-10-17,France,Cherbourg-en-Cotentin,AG2R La Mondiale,64,1.76,1305,283,107,606,150
Michał Kwiatkowski,1990-06-02,Poland,Chełmża,INEOS Grenadiers,68,1.76,4014,3074,3198,1403,2484
Stefan Küng,1993-11-16,Switzerland,Wil,Groupama - FDJ,83,1.93,962,757,2536,366,258
Pello Bilbao,1990-02-25,Spain,Guernica,Bahrain - McLaren,60,1.74,644,1766,713,691,1810
Michael Matthews,1990-09-26,Australia,Canberra,Team Sunweb,72,1.78,5016,704,1431,5031,1532
Giacomo Nizzolo,1989-01-30,Italy,Milan,NTT Pro Cycling,72,1.84,3091,525,227,5862,224
Simon Yates,1992-08-07,Great Britain,Bury,Mitchelton-Scott,58,1.72,531,3274,700,226,3339
Daniel Felipe Martínez,1996-04-25,Colombia,Soacha,EF Pro Cycling,63,1.72,275,1236,573,36,546
Alejandro Valverde,1980-04-25,Spain,Murcia,Movistar Team,61,1.77,11855,12409,4581,5225,13660
Warren Barguil,1991-10-28,France,Hennebont,Team Arkéa Samsic,61,1.82,1390,2292,106,464,2501
Yves Lampaert,1991-04-10,Belgium,Izegem,Deceuninck - Quick Step,75,1.8,2245,937,1475,1829,165
Rafał Majka,1989-09-12,Poland,Zegartowice,BORA - hansgrohe,62,1.73,1061,4307,855,212,5034
Miguel Ángel López,1994-02-04,Colombia,Pesca,Astana Pro Team,59,1.64,247,3059,444,215,2706
Florian Sénéchal,1993-07-10,France,Cambrai,Deceuninck - Quick Step,77,1.79,1862,591,193,1659,124
Nairo Quintana,1990-02-04,Colombia,Cómbita,Team Arkéa Samsic,59,1.67,487,8311,1256,214,6372
Mikel Landa,1989-12-13,Spain,Murgia,Bahrain - McLaren,60,1.73,574,3533,197,239,3782
Vincenzo Nibali,1984-11-14,Italy,Messina,Trek - Segafredo,65,1.81,4538,9161,3614,1372,8489
Mads Pedersen,1995-12-18,Denmark,Tølløse,Trek - Segafredo,70,1.79,1341,606,774,1204,108
Jai Hindley,1996-05-05,Australia,Perth,Team Sunweb,60,1.75,119,1080,9,168,293
Richard Carapaz,1993-05-29,Ecuador,El Carmelo,INEOS Grenadiers,62,1.7,228,1624,199,146,1386
Søren Kragh Andersen,1994-08-10,Denmark,Strib,Team Sunweb,73,1.78,582,901,1380,829,212
Filippo Ganna,1996-07-25,Italy,Verbania,INEOS Grenadiers,82,1.93,105,211,1804,57,16
Tao Geoghegan Hart,1995-03-30,Great Britain,London,INEOS Grenadiers,65,1.83,173,1435,409,112,900
Pascal Ackermann,1994-01-17,Germany,Kandel,BORA - hansgrohe,78,1.8,2330,103,0,3343,300
Caleb Ewan,1994-07-11,Australia,Sydney,Lotto Soudal,67,1.65,1439,226,148,5032,201
João Almeida,1998-08-05,Portugal,A dos Francos,Deceuninck - Quick Step,63,1.78,96,537,452,118,86
Aleksandr Vlasov,1996-04-23,Russia,Vyborg,Astana Pro Team,68,1.86,465,745,66,146,329
Marc Hirschi,1998-08-24,Switzerland,Bern,Team Sunweb,61,1.74,924,326,66,140,174
Peter Sagan,1990-01-26,Slovakia,Žilina,BORA - hansgrohe,78,1.84,8931,1541,1280,13759,3038
Wilco Kelderman,1991-03-25,Netherlands,Amersfoort,Team Sunweb,65,1.85,547,4257,2022,814,2837
Maximilian Schachmann,1994-01-09,Germany,Berlin,BORA - hansgrohe,70,1.83,904,1053,948,264,985
Guillaume Martin,1993-06-09,France,Paris,"Cofidis, Solutions Crédits",55,1.73,892,1791,6,317,1118
Sam Bennett,1990-10-16,Ireland,Wervik,Deceuninck - Quick Step,73,1.78,1764,271,41,5670,246
Julian Alaphilippe,1992-06-11,France,Saint-Amand-Montrond,Deceuninck - Quick Step,60,1.73,4196,1881,1009,1464,3364
Richie Porte,1985-01-30,Australia,Launceston,Trek - Segafredo,62,1.72,290,6815,3636,496,3480
Mathieu van der Poel,1995-01-19,Netherlands,Kapellen,Alpecin-Fenix,75,1.84,2085,779,331,1682,110
Arnaud Démare,1991-08-26,France,Beauvais,Groupama - FDJ,76,1.82,4472,1184,363,8120,216
Diego Ulissi,1989-07-15,Italy,Cecina,UAE-Team Emirates,63,1.75,3987,3650,848,1930,3384
Jakob Fuglsang,1985-03-22,Denmark,Geneva,Astana Pro Team,65,1.81,3149,6020,1517,910,4845
Wout van Aert,1994-09-15,Belgium,Herentals,Team Jumbo-Visma,78,1.87,2466,376,776,1517,306
Primož Roglič,1989-10-29,Slovenia,Trbovlje,Team Jumbo-Visma,65,1.77,912,4061,2796,280,2572
Tadej Pogačar,1998-09-21,Slovenia,Komenda,UAE-Team Emirates,66,1.76,456,1959,431,282,1020
